KOD_FASILITI,NAMA,ALAMAT,POSKOD,NEGERI,DAERAH,STATUS,SEKTOR,KATEGORI_FASILITI,JENIS_FASILITI
11-01030012,HOSPITAL ENCHE' BESAR HAJJAH KHALSOM,"KM 5, JALAN KOTA TINGGI",86000,JOHOR,KLUANG,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MINOR
11-01040013,HOSPITAL KOTA TINGGI,JALAN TUN HABAB,81900,JOHOR,KOTA TINGGI,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-01050014,HOSPITAL MERSING,JALAN ISMAIL,86800,JOHOR,MERSING,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-01060015,HOSPITAL PAKAR SULTANAH FATIMAH,"JALAN SALLEH, TAMAN UTAMA SATU",84000,JOHOR,MUAR,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-01070016,HOSPITAL PONTIAN,JALAN ALSAGOFF,82000,JOHOR,PONTIAN,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-01080017,HOSPITAL SEGAMAT,KM 6 JALAN GENUANG,85000,JOHOR,SEGAMAT,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-01020400,HOSPITAL SULTAN ISMAIL JOHOR BAHRU,"JALAN PERSIARAN MUTIARA EMAS UTAMA, TAMAN MOUNT AUSTIN",81100,JOHOR,JOHOR BAHRU,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-01020010,HOSPITAL SULTANAH AMINAH,JALAN PERSIARAN ABU BAKAR SULTAN,80000,JOHOR,JOHOR BAHRU,BUKA,AWAM,HOSPITAL,HOSPITAL NEGERI
11-01010011,HOSPITAL SULTANAH NORA ISMAIL,"JALAN KORMA, TAMAN SOGA",83000,JOHOR,BATU PAHAT,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-01100018,HOSPITAL TANGKAK,"JALAN HOSPITAL, TANGKAK MUAR",84900,JOHOR,TANGKAK,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-01090019,HOSPITAL TEMENGGONG SERI MAHARAJA TUN IBRAHIM,JALAN PERSEKUTUAN 1,81000,JOHOR,KULAIJAYA,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-01021181,HOSPITAL PASIR GUDANG,JALAN PUNCAK 1,81700,JOHOR,JOHOR BAHRU,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-02110504,HOSPITAL PENDANG,KAMPUNG MANGGOL PAUH,06700,KEDAH,PENDANG,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MINOR
11-02030085,HOSPITAL SULTANAH BAHIYAH,"KM 6, JALAN LANGGAR",05460,KEDAH,KOTA SETAR,BUKA,AWAM,HOSPITAL,HOSPITAL NEGERI
11-02040020,HOSPITAL SULTAN ABDUL HALIM,JALAN LENCONGAN TIMUR BANDAR AMANJAYA,08000,KEDAH,KUALA MUDA,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-02050015,HOSPITAL JITRA,JALAN CHANGLUN,06000,KEDAH,KUBANG PASU,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-02060017,HOSPITAL KULIM,"LEBUH TAMAN PERINDUSTRIAN, TAMAN KULIM HI-TECH",09000,KEDAH,KULIM,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-02070018,HOSPITAL SULTANAH MALIHA,"BUKIT TEKUH, JALAN PADANG MAKSIRAT",07000,KEDAH,LANGKAWI,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MINOR
