Age,ex,Sex,State
0,71.6,Male,Johor
1,71.1,Male,Johor
5,67.2,Male,Johor
10,62.2,Male,Johor
15,57.3,Male,Johor
20,52.5,Male,Johor
25,47.8,Male,Johor
30,43.0,Male,Johor
35,38.3,Male,Johor
40,33.7,Male,Johor
45,29.3,Male,Johor
50,25.1,Male,Johor
55,21.1,Male,Johor
60,17.4,Male,Johor
65,13.9,Male,Johor
70,10.8,Male,Johor
75,8.3,Male,Johor
80,5.8,Male,Johor
0,76.2,Female,Johor
1,75.7,Female,Johor
5,71.7,Female,Johor
10,66.8,Female,Johor
15,61.8,Female,Johor
20,56.9,Female,Johor
25,52.0,Female,Johor
30,47.2,Female,Johor
35,42.4,Female,Johor
40,37.7,Female,Johor
45,33.1,Female,Johor
50,28.7,Female,Johor
55,24.4,Female,Johor
60,20.3,Female,Johor
65,16.4,Female,Johor
70,12.7,Female,Johor
75,9.6,Female,Johor
80,6.8,Female,Johor
0,69.1,Male,Kedah
1,68.5,Male,Kedah
5,64.6,Male,Kedah
10,59.6,Male,Kedah
15,54.7,Male,Kedah
20,50.0,Male,Kedah
25,45.3,Male,Kedah
30,40.6,Male,Kedah
35,36.0,Male,Kedah
40,31.7,Male,Kedah
45,27.7,Male,Kedah
50,23.9,Male,Kedah
55,20.2,Male,Kedah
60,16.8,Male,Kedah
65,13.8,Male,Kedah
70,10.9,Male,Kedah
75,8.2,Male,Kedah
80,5.6,Male,Kedah
0,74.6,Female,Kedah
1,74.1,Female,Kedah
5,70.2,Female,Kedah
10,65.2,Female,Kedah
15,60.3,Female,Kedah
20,55.4,Female,Kedah
25,50.5,Female,Kedah
30,45.7,Female,Kedah
35,41.0,Female,Kedah
40,36.3,Female,Kedah
45,31.9,Female,Kedah
50,27.6,Female,Kedah
55,23.5,Female,Kedah
60,19.6,Female,Kedah
65,16.0,Female,Kedah
70,12.5,Female,Kedah
75,9.4,Female,Kedah
80,6.6,Female,Kedah
0,69.3,Male,Kelantan
1,68.8,Male,Kelantan
5,64.9,Male,Kelantan
10,60.0,Male,Kelantan
15,55.1,Male,Kelantan
20,50.4,Male,Kelantan
25,45.7,Male,Kelantan
30,41.0,Male,Kelantan
35,36.4,Male,Kelantan
40,31.9,Male,Kelantan
45,27.7,Male,Kelantan
50,23.7,Male,Kelantan
55,20.0,Male,Kelantan
60,16.4,Male,Kelantan
65,13.1,Male,Kelantan
70,10.0,Male,Kelantan
75,7.4,Male,Kelantan
80,5.4,Male,Kelantan
0,74.6,Female,Kelantan
1,74.0,Female,Kelantan
5,70.1,Female,Kelantan
10,65.1,Female,Kelantan
15,60.2,Female,Kelantan
20,55.3,Female,Kelantan
25,50.4,Female,Kelantan
30,45.6,Female,Kelantan
35,40.9,Female,Kelantan
40,36.3,Female,Kelantan
45,31.8,Female,Kelantan
50,27.5,Female,Kelantan
55,23.3,Female,Kelantan
60,19.3,Female,Kelantan
65,15.5,Female,Kelantan
70,12.0,Female,Kelantan
75,8.9,Female,Kelantan
80,6.4,Female,Kelantan
0,70.6,Male,Melaka
1,70.2,Male,Melaka
5,66.3,Male,Melaka
10,61.3,Male,Melaka
15,56.4,Male,Melaka
20,51.6,Male,Melaka
25,46.8,Male,Melaka
30,42.1,Male,Melaka
35,37.3,Male,Melaka
40,32.7,Male,Melaka
45,28.0,Male,Melaka
50,24.0,Male,Melaka
55,20.2,Male,Melaka
60,16.8,Male,Melaka
65,13.6,Male,Melaka
70,10.5,Male,Melaka
75,7.6,Male,Melaka
80,5.6,Male,Melaka
0,75.9,Female,Melaka
1,75.4,Female,Melaka
5,71.5,Female,Melaka
10,66.5,Female,Melaka
15,61.6,Female,Melaka
20,56.7,Female,Melaka
25,51.7,Female,Melaka
30,46.9,Female,Melaka
35,42.0,Female,Melaka
40,37.3,Female,Melaka
45,32.6,Female,Melaka
50,28.0,Female,Melaka
55,23.9,Female,Melaka
60,19.8,Female,Melaka
65,16.0,Female,Melaka
70,12.5,Female,Melaka
75,9.2,Female,Melaka
80,6.6,Female,Melaka
0,70.3,Male,Negeri Sembilan
1,69.8,Male,Negeri Sembilan
5,66.0,Male,Negeri Sembilan
10,61.0,Male,Negeri Sembilan
15,56.1,Male,Negeri Sembilan
20,51.4,Male,Negeri Sembilan
25,46.6,Male,Negeri Sembilan
30,41.9,Male,Negeri Sembilan
35,37.3,Male,Negeri Sembilan
40,32.6,Male,Negeri Sembilan
45,28.3,Male,Negeri Sembilan
50,24.3,Male,Negeri Sembilan
55,20.5,Male,Negeri Sembilan
60,17.1,Male,Negeri Sembilan
65,13.7,Male,Negeri Sembilan
70,10.9,Male,Negeri Sembilan
75,8.1,Male,Negeri Sembilan
80,5.7,Male,Negeri Sembilan
0,75.9,Female,Negeri Sembilan
1,75.3,Female,Negeri Sembilan
5,71.4,Female,Negeri Sembilan
10,66.5,Female,Negeri Sembilan
15,61.5,Female,Negeri Sembilan
20,56.6,Female,Negeri Sembilan
25,51.7,Female,Negeri Sembilan
30,46.9,Female,Negeri Sembilan
35,42.1,Female,Negeri Sembilan
40,37.3,Female,Negeri Sembilan
45,32.8,Female,Negeri Sembilan
50,28.3,Female,Negeri Sembilan
55,24.1,Female,Negeri Sembilan
60,20.0,Female,Negeri Sembilan
65,16.1,Female,Negeri Sembilan
70,12.6,Female,Negeri Sembilan
75,9.4,Female,Negeri Sembilan
80,6.7,Female,Negeri Sembilan
0,69.9,Male,Pahang
1,69.4,Male,Pahang
5,65.6,Male,Pahang
10,60.6,Male,Pahang
15,55.8,Male,Pahang
20,51.0,Male,Pahang
25,46.3,Male,Pahang
30,41.6,Male,Pahang
35,37.0,Male,Pahang
40,32.4,Male,Pahang
45,28.0,Male,Pahang
50,23.8,Male,Pahang
55,19.9,Male,Pahang
60,16.4,Male,Pahang
65,13.1,Male,Pahang
70,10.4,Male,Pahang
75,7.8,Male,Pahang
80,5.6,Male,Pahang
